DateUtc,StrategyCode,StrategyName,CurrentPnl,FullFillPracticePnl,FillAdjustedPracticePnl,FillAdjustedVsCurrent,FullFillVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-11,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,10.26428802,32.70123602,12.64297515,2.37868713,22.436948,12,10,2,0,9,12,0
2026-06-11,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.668339,58.909685,6.02881543,-0.63952357,52.241346,25,20,3,2,15,25,0
2026-06-11,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,6.51863002,15.0524,10.49370435,3.97507433,8.53376998,16,15,0,1,9,16,0
2026-06-12,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,0.221341,14.0588,1.29445217,1.07311117,13.837459,9,9,0,0,7,9,0
2026-06-12,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,5.345,18.1225,1.71119565,-3.63380435,12.7775,4,4,0,0,2,4,0
2026-06-12,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,10.321462,51.16,4.66130435,-5.66015765,40.838538,12,11,1,0,7,12,0
2026-06-12,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,7.6865,39.9993,0.79451739,-6.89198261,32.3128,6,5,0,1,5,6,0
2026-06-12,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.494057,23.490257,3.43199613,-3.06206087,16.9962,14,13,1,0,6,14,0
2026-06-12,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-4.07525012,9.47200002,-0.55713041,3.51811971,13.54725014,18,13,2,3,13,18,0
2026-06-13,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,0,3,0.26478261,0.26478261,3,1,0,0,1,1,1,0
2026-06-13,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-13,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,2.7216,9,0.79434783,-1.92725217,6.2784,1,1,0,0,1,1,0
2026-06-13,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-13,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,-7.65892798,1.11650002,-7.08915215,0.56977583,8.775428,8,8,0,0,5,8,0
2026-06-13,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,2.7798,12,1.05913043,-1.72066957,9.2202,1,1,0,0,1,1,0
