"seq","asset","outcome","slug","token","market_start_utc","market_end_utc","due_utc","market_start_local","market_end_local","due_local","question"
"3","ETH","Up","eth-updown-5m-1783168800","110557279996910645944599789976324922124036559798887566339475962270412192633132","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Ethereum Up or Down - July 4, 8:40AM-8:45AM ET"
"3","ETH","Down","eth-updown-5m-1783168800","69007630090604639972637327280691190324642760690448830593561766291409920353059","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Ethereum Up or Down - July 4, 8:40AM-8:45AM ET"
"3","SOL","Up","sol-updown-5m-1783168800","21697695435912345031389132693127798328789678710092174753403777891666089465128","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Solana Up or Down - July 4, 8:40AM-8:45AM ET"
"3","SOL","Down","sol-updown-5m-1783168800","3709976965613227186173728092216027119065349792898088379762435790910648121700","2026-07-04T12:40:00.0000000+00:00","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:39:30.0000000+00:00","2026-07-04 15:40:00","2026-07-04 15:45:00","2026-07-04 15:39:30","Solana Up or Down - July 4, 8:40AM-8:45AM ET"
"4","BTC","Up","btc-updown-5m-1783169100","342505265293162704731429879788281847075158893480316756704455420926489201135","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Bitcoin Up or Down - July 4, 8:45AM-8:50AM ET"
"4","BTC","Down","btc-updown-5m-1783169100","86206561016878060703235992298315671184571823467889018418371871886781380027305","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Bitcoin Up or Down - July 4, 8:45AM-8:50AM ET"
"4","ETH","Up","eth-updown-5m-1783169100","65698748740041482870880137201062772436197272650802312896856712313038204382144","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Ethereum Up or Down - July 4, 8:45AM-8:50AM ET"
"4","ETH","Down","eth-updown-5m-1783169100","10529093165991718717736193270521043902222851968191588157252357449857750660774","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Ethereum Up or Down - July 4, 8:45AM-8:50AM ET"
"4","SOL","Up","sol-updown-5m-1783169100","96473662888285627663334875163208416318448305155277956193748970346010138727896","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Solana Up or Down - July 4, 8:45AM-8:50AM ET"
"4","SOL","Down","sol-updown-5m-1783169100","8114338916106754544872248486311547843686025759641785417506555017784347058239","2026-07-04T12:45:00.0000000+00:00","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:44:30.0000000+00:00","2026-07-04 15:45:00","2026-07-04 15:50:00","2026-07-04 15:44:30","Solana Up or Down - July 4, 8:45AM-8:50AM ET"
"5","BTC","Up","btc-updown-5m-1783169400","75174758634903797724984004492728549040321624498341379942249978899079497375768","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Bitcoin Up or Down - July 4, 8:50AM-8:55AM ET"
"5","BTC","Down","btc-updown-5m-1783169400","67005875821306988845089085369942161077404502416766969680691076746113270097402","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Bitcoin Up or Down - July 4, 8:50AM-8:55AM ET"
"5","ETH","Up","eth-updown-5m-1783169400","78792949404545371532397984509960782699857784497393487779468027175497403784899","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Ethereum Up or Down - July 4, 8:50AM-8:55AM ET"
"5","ETH","Down","eth-updown-5m-1783169400","7889123683511545042275743876983797671393800369714343047516624832866273682900","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Ethereum Up or Down - July 4, 8:50AM-8:55AM ET"
"5","SOL","Up","sol-updown-5m-1783169400","76832791473661260326916738787244173403289337634741761081965770196988740016598","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Solana Up or Down - July 4, 8:50AM-8:55AM ET"
"5","SOL","Down","sol-updown-5m-1783169400","91226515363053055683383621083183433680394818653313243620350249652075550929762","2026-07-04T12:50:00.0000000+00:00","2026-07-04T12:55:00.0000000+00:00","2026-07-04T12:49:30.0000000+00:00","2026-07-04 15:50:00","2026-07-04 15:55:00","2026-07-04 15:49:30","Solana Up or Down - July 4, 8:50AM-8:55AM ET"
"6","BTC","Up","btc-updown-5m-1783169700","56343513435286493270177724395605099688328723109001551902704161490446762558466","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Bitcoin Up or Down - July 4, 8:55AM-9:00AM ET"
"6","BTC","Down","btc-updown-5m-1783169700","107639832792670196998851933244352684920896547435188902285087604852349288527089","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Bitcoin Up or Down - July 4, 8:55AM-9:00AM ET"
"6","ETH","Up","eth-updown-5m-1783169700","17115704818613219311740923564304545523137612285034919285025453347133016868996","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Ethereum Up or Down - July 4, 8:55AM-9:00AM ET"
"6","ETH","Down","eth-updown-5m-1783169700","913953234807688956363051681765753741714978568649505556596490174800819471170","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Ethereum Up or Down - July 4, 8:55AM-9:00AM ET"
"6","SOL","Up","sol-updown-5m-1783169700","85533237237372072164929435195777879188056205496983297092900150057103111478973","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Solana Up or Down - July 4, 8:55AM-9:00AM ET"
"6","SOL","Down","sol-updown-5m-1783169700","56834849468852417668938958768549396110049008643919896155585195607697697560907","2026-07-04T12:55:00.0000000+00:00","2026-07-04T13:00:00.0000000+00:00","2026-07-04T12:54:30.0000000+00:00","2026-07-04 15:55:00","2026-07-04 16:00:00","2026-07-04 15:54:30","Solana Up or Down - July 4, 8:55AM-9:00AM ET"
