"seq","market","asset","outcome","captured_at","due_local","slug","token","best_ask","best_ask_size","best_ask_notional_usd","ask_levels","total_ask_size","total_ask_notional_usd","best_bid","best_bid_size","best_bid_notional_usd","bid_levels","total_bid_size","total_bid_notional_usd","error"
"2","15:35-15:40","SOL","Down","2026-07-04T15:34:32.5832179+03:00","2026-07-04 15:34:30","sol-updown-5m-1783168500","79026470312970728456590015634525827148158594988132748807108645354100347827230","0.5","134","67","50","24393.22","23143.6887","0.49","25.49","12.4901","49","24309.71","1207.5714",""
"2","15:35-15:40","SOL","Up","2026-07-04T15:34:32.8119434+03:00","2026-07-04 15:34:30","sol-updown-5m-1783168500","82531476584694136702598638487082090035334971837818031014731549357600013731406","0.51","25.49","12.9999","49","24309.71","23102.1386","0.5","134","67","50","24393.22","1249.5313",""
"3","15:40-15:45","BTC","Down","2026-07-04T15:39:30.0166584+03:00","2026-07-04 15:39:30","btc-updown-5m-1783168800","10703158254968919258785055019813940316515929172459374802250956969723948980319","0.51","470.39","239.8989","49","25148.83","18497.2879","0.5","59.36","29.68","50","27387.16","7704.4495",""
"3","15:40-15:45","BTC","Up","2026-07-04T15:39:30.3102615+03:00","2026-07-04 15:39:30","btc-updown-5m-1783168800","12009654180282857516724130149270116577139752123814339265534578748266460607530","0.5","59.36","29.68","50","27387.16","19682.7105","0.49","470.39","230.4911","49","25148.83","6651.5421",""
"3","15:40-15:45","ETH","Down","2026-07-04T15:39:30.5607862+03:00","2026-07-04 15:39:30","eth-updown-5m-1783168800","69007630090604639972637327280691190324642760690448830593561766291409920353059","0.51","8.87","4.5237","49","35211.42","32463.9009","0.5","1259.2","629.6","50","36180.25","3276.7828",""
"3","15:40-15:45","ETH","Up","2026-07-04T15:39:30.7918795+03:00","2026-07-04 15:39:30","eth-updown-5m-1783168800","110557279996910645944599789976324922124036559798887566339475962270412192633132","0.5","1259.2","629.6","50","36180.25","32903.4672","0.49","8.87","4.3463","49","35211.42","2747.5191",""
"3","15:40-15:45","SOL","Down","2026-07-04T15:39:31.0594133+03:00","2026-07-04 15:39:30","sol-updown-5m-1783168800","3709976965613227186173728092216027119065349792898088379762435790910648121700","0.49","42.35","20.7515","51","24341.87","23079.0886","0.46","81.52","37.4992","46","24201.22","1182.5113",""
"3","15:40-15:45","SOL","Up","2026-07-04T15:39:31.2939131+03:00","2026-07-04 15:39:30","sol-updown-5m-1783168800","21697695435912345031389132693127798328789678710092174753403777891666089465128","0.54","81.52","44.0208","46","24201.22","23018.7087","0.51","42.35","21.5985","51","24348.87","1263.6914",""
"4","15:45-15:50","BTC","Down","2026-07-04T15:44:30.0043172+03:00","2026-07-04 15:44:30","btc-updown-5m-1783169100","86206561016878060703235992298315671184571823467889018418371871886781380027305","0.51","507.53","258.8403","49","61310.79","52822.9867","0.5","405.3","202.65","50","59930.74","7971.0189",""
"4","15:45-15:50","BTC","Up","2026-07-04T15:44:30.4107274+03:00","2026-07-04 15:44:30","btc-updown-5m-1783169100","342505265293162704731429879788281847075158893480316756704455420926489201135","0.5","405.3","202.65","50","59930.74","51959.7211","0.49","507.53","248.6897","49","61310.79","8487.8033",""
"4","15:45-15:50","ETH","Down","2026-07-04T15:44:30.6740484+03:00","2026-07-04 15:44:30","eth-updown-5m-1783169100","10529093165991718717736193270521043902222851968191588157252357449857750660774","0.52","1.01","0.5252","47","33939.34","31375.8939","0.51","287.61","146.6811","51","34110.77","2748.6847",""
"4","15:45-15:50","ETH","Up","2026-07-04T15:44:30.9046727+03:00","2026-07-04 15:44:30","eth-updown-5m-1783169100","65698748740041482870880137201062772436197272650802312896856712313038204382144","0.49","287.61","140.9289","51","34110.77","31362.0853","0.48","1.01","0.4848","47","33939.34","2563.4461",""
"4","15:45-15:50","SOL","Down","2026-07-04T15:44:31.1555069+03:00","2026-07-04 15:44:30","sol-updown-5m-1783169100","8114338916106754544872248486311547843686025759641785417506555017784347058239","0.5","46.44","23.22","50","23921.66","22717.3887","0.48","16.58","7.9584","48","23878.8","1191.6297",""
"4","15:45-15:50","SOL","Up","2026-07-04T15:44:31.3923822+03:00","2026-07-04 15:44:30","sol-updown-5m-1783169100","96473662888285627663334875163208416318448305155277956193748970346010138727896","0.52","16.58","8.6216","48","23878.8","22687.1703","0.5","46.44","23.22","50","23928.66","1205.3913",""
"5","15:50-15:55","BTC","Down","2026-07-04T15:49:30.0150440+03:00","2026-07-04 15:49:30","btc-updown-5m-1783169400","67005875821306988845089085369942161077404502416766969680691076746113270097402","0.5","1413.42","706.71","50","62632.58","53684.9205","0.49","419.09","205.3541","49","60078.59","7812.7631",""
"5","15:50-15:55","BTC","Up","2026-07-04T15:49:30.2964891+03:00","2026-07-04 15:49:30","btc-updown-5m-1783169400","75174758634903797724984004492728549040321624498341379942249978899079497375768","0.51","419.09","213.7359","49","60078.59","52265.8269","0.5","1413.42","706.71","50","62632.58","8947.6595",""
"5","15:50-15:55","ETH","Down","2026-07-04T15:49:30.5175731+03:00","2026-07-04 15:49:30","eth-updown-5m-1783169400","7889123683511545042275743876983797671393800369714343047516624832866273682900","0.5","140","70","50","35256.85","32465.1788","0.49","116.33","57.0017","49","35001.18","2679.0829",""
"5","15:50-15:55","ETH","Up","2026-07-04T15:49:30.7852154+03:00","2026-07-04 15:49:30","eth-updown-5m-1783169400","78792949404545371532397984509960782699857784497393487779468027175497403784899","0.51","116.33","59.3283","49","35001.18","32322.0971","0.5","140","70","50","35256.85","2791.6712",""
"5","15:50-15:55","SOL","Down","2026-07-04T15:49:31.0030153+03:00","2026-07-04 15:49:30","sol-updown-5m-1783169400","91226515363053055683383621083183433680394818653313243620350249652075550929762","0.5","170","85","50","24357.22","23095.0587","0.49","17.92","8.7808","49","24260.14","1205.3921",""
"5","15:50-15:55","SOL","Up","2026-07-04T15:49:31.2222489+03:00","2026-07-04 15:49:30","sol-updown-5m-1783169400","76832791473661260326916738787244173403289337634741761081965770196988740016598","0.51","17.92","9.1392","49","24260.14","23054.7479","0.5","170","85","50","24385.22","1266.1513",""
"6","15:55-16:00","BTC","Down","2026-07-04T15:54:30.0047950+03:00","2026-07-04 15:54:30","btc-updown-5m-1783169700","107639832792670196998851933244352684920896547435188902285087604852349288527089","0.5","110","55","50","60334.48","52222.3354","0.49","763.34","374.0366","49","61064.59","8412.002",""
"6","15:55-16:00","BTC","Up","2026-07-04T15:54:30.2748739+03:00","2026-07-04 15:54:30","btc-updown-5m-1783169700","56343513435286493270177724395605099688328723109001551902704161490446762558466","0.51","763.34","389.3034","49","61064.59","52652.588","0.5","110","55","50","60334.48","8112.1446",""
"6","15:55-16:00","ETH","Down","2026-07-04T15:54:30.4815038+03:00","2026-07-04 15:54:30","eth-updown-5m-1783169700","913953234807688956363051681765753741714978568649505556596490174800819471170","0.51","8.9","4.539","49","34597.75","31886.6878","0.5","965","482.5","50","35544.85","3203.0412",""
"6","15:55-16:00","ETH","Up","2026-07-04T15:54:30.7030612+03:00","2026-07-04 15:54:30","eth-updown-5m-1783169700","17115704818613219311740923564304545523137612285034919285025453347133016868996","0.5","965","482.5","50","35544.85","32341.8088","0.49","8.9","4.361","49","34597.75","2711.0622",""
"6","15:55-16:00","SOL","Down","2026-07-04T15:54:30.9028017+03:00","2026-07-04 15:54:30","sol-updown-5m-1783169700","56834849468852417668938958768549396110049008643919896155585195607697697560907","0.5","115.7","57.85","50","24292.92","23055.7587","0.49","17.92","8.7808","49","24246.56","1211.0537",""
"6","15:55-16:00","SOL","Up","2026-07-04T15:54:31.1281792+03:00","2026-07-04 15:54:30","sol-updown-5m-1783169700","85533237237372072164929435195777879188056205496983297092900150057103111478973","0.51","17.92","9.1392","49","24253.56","23041.1763","0.5","115.7","57.85","50","24306.92","1239.1213",""
