DateUtc,StrategyCode,StrategyName,CurrentPnl,SimplePracticePnl,PracticeVsCurrent,Decisions,CurrentSettled,GtdLimitNotFilled,CurrentPriceAboveMaxSkipped,SimplePracticeRestingAt0.50,SimplePracticeComputable,SimplePracticeNotComputable
2026-06-06,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,9.07036,27.36406,18.2937,25,14,1,10,16,19,6
2026-06-06,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,1.514119,20.779354,19.265235,28,20,5,3,11,26,2
2026-06-07,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,1.7118,54.235,52.5232,11,5,5,1,8,11,0
2026-06-07,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-10.6008,-14.7477,-4.1469,7,5,0,2,5,5,2
2026-06-07,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-12.1933,1.1191,13.3124,17,11,4,2,13,16,1
2026-06-07,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,1.0044,-6.9916,-7.996,7,4,0,3,4,4,3
2026-06-07,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,-16.871477,16.258854,33.130331,24,14,6,4,17,21,3
2026-06-07,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,12.3228,26.0671,13.7443,7,6,0,1,3,6,1
2026-06-08,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,7.824406,33.147,25.322594,12,9,2,1,8,11,1
2026-06-08,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-2.4218,-6.9587,-4.5369,11,9,0,2,8,11,0
2026-06-08,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-14.206771,-28.827934,-14.621163,24,16,4,4,17,23,1
2026-06-08,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,-6.6121,14.0496,20.6617,20,17,0,3,12,19,1
2026-06-08,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,9.6367,19.4185,9.7818,24,14,3,7,16,23,1
2026-06-08,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,11.92976001,8.01145999,-3.91830002,24,22,0,2,8,24,0
2026-06-09,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,-0.3087,20.9933,21.302,8,6,1,1,5,8,0
2026-06-09,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,-4.998218,8.2234,13.221618,13,9,2,2,8,13,0
2026-06-09,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,16.294561,61.060779,44.766218,11,9,1,1,6,11,0
2026-06-09,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,1.57912197,34.62899997,33.049878,19,13,2,4,12,19,0
2026-06-09,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,11.750451,28.466976,16.716525,15,11,1,3,8,15,0
2026-06-09,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-6.200427,7.254617,13.455044,28,19,3,6,18,28,0
2026-06-10,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,1.127394,15.2678,14.140406,11,6,2,3,8,11,0
2026-06-10,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,7.040706,22.9552,15.914494,15,11,1,3,11,15,0
2026-06-10,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,4.9969,27.054,22.0571,12,8,0,4,8,12,0
2026-06-10,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,19.839,97.9384,78.0994,17,12,3,2,11,17,0
2026-06-10,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,2.018202,26.502196,24.483994,21,15,0,6,11,21,0
2026-06-10,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,0.93610205,26.90739603,25.97129398,34,24,5,5,16,34,0
2026-06-11,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,16.753368,53.5347,36.781332,9,7,0,2,7,9,0
2026-06-11,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,2.578265,5.8019,3.223635,4,3,0,1,3,4,0
2026-06-11,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,-8.12665297,31.11630003,39.242953,16,12,2,2,10,16,0
2026-06-11,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,10.26428802,32.70123602,22.436948,12,10,2,0,9,12,0
2026-06-11,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.668339,58.909685,52.241346,25,20,3,2,15,25,0
2026-06-11,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,6.51863002,15.0524,8.53376998,16,15,0,1,9,16,0
2026-06-12,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,0.221341,14.0588,13.837459,9,9,0,0,7,9,0
2026-06-12,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,5.345,18.1225,12.7775,4,4,0,0,2,4,0
2026-06-12,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,10.321462,51.16,40.838538,12,11,1,0,7,12,0
2026-06-12,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,7.6865,39.9993,32.3128,6,5,0,1,5,6,0
2026-06-12,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,6.494057,23.490257,16.9962,14,13,1,0,6,14,0
2026-06-12,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,-4.07525012,9.47200002,13.54725014,18,13,2,3,13,18,0
2026-06-13,btc_up_down_5m_down_bps_50_instant,BTC Up or Down 5m Down 50 bps Instant,0,3,3,1,0,0,1,1,1,0
2026-06-13,btc_up_down_5m_up_bps_50_instant,BTC Up or Down 5m Up 50 bps Instant,0,0,0,0,0,0,0,0,0,0
2026-06-13,eth_up_down_5m_down_bps_50_instant,ETH Up or Down 5m Down 50 bps Instant,2.7216,9,6.2784,1,1,0,0,1,1,0
2026-06-13,eth_up_down_5m_up_bps_50_instant,ETH Up or Down 5m Up 50 bps Instant,0,0,0,0,0,0,0,0,0,0
2026-06-13,sol_up_down_5m_down_bps_50_instant,SOL Up or Down 5m Down 50 bps Instant,-7.65892798,1.11650002,8.775428,8,8,0,0,5,8,0
2026-06-13,sol_up_down_5m_up_bps_50_instant,SOL Up or Down 5m Up 50 bps Instant,2.7798,12,9.2202,1,1,0,0,1,1,0
