"seq","market","asset","side","due","captured_at","token","best_bid","best_ask","asks_0_99_levels","depth_to_99_usd","depth_to_99_shares","five_by_6_usd","five_by_6_worst_ask","five_by_6_vwap","five_by_6_levels_used"
"3","13:55-14:00","SOL","Up","2026-07-04 13:54:30","2026-07-04T13:54:31.0789739+03:00","107172302826948674101619543151017988679660353346752003369145329070594740867096","0.5","0.52","48","22447.8213","23580.51","30.0465","0.53","0.521694","2"
"4","14:00-14:05","BTC","Down","2026-07-04 13:59:30","2026-07-04T13:59:30.2434551+03:00","32979190671368283508729776921769633206566486219072799521304333439313233778028","0.52","0.53","47","52620.2593","60495.76","30.0465","0.53","0.53","1"
"4","14:00-14:05","BTC","Up","2026-07-04 13:59:30","2026-07-04T13:59:30.0123040+03:00","99434557679536549643448650797569895697085891938943841684386053922334117455434","0.47","0.48","52","53279.4761","61837.1","30.0465","0.48","0.48","1"
"4","14:00-14:05","ETH","Down","2026-07-04 13:59:30","2026-07-04T13:59:30.6963324+03:00","73236667026526573151488292215266821180182752184002002145723302019132289253760","0.49","0.5","50","31438.2192","34106.03","30.0465","0.53","0.520473","4"
"4","14:00-14:05","ETH","Up","2026-07-04 13:59:30","2026-07-04T13:59:30.5074564+03:00","40637905158423739977789834938873849190261844495460415869307226091235176527173","0.5","0.51","49","31426.1701","34125.86","30.0465","0.51","0.51","1"
"4","14:00-14:05","SOL","Down","2026-07-04 13:59:30","2026-07-04T13:59:31.1943200+03:00","98143826611795269165593508288003399549998095893495616742161386218323437834257","0.49","0.51","49","22642.8137","23796.35","30.0465","0.52","0.511636","2"
"4","14:00-14:05","SOL","Up","2026-07-04 13:59:30","2026-07-04T13:59:30.9752835+03:00","71764134347778220285092130637510878854844874116432372570674148229257575299326","0.49","0.51","49","22627.4645","23781.67","30.0465","0.52","0.519481","2"
"5","14:05-14:10","BTC","Down","2026-07-04 14:04:30","2026-07-04T14:04:30.2865342+03:00","111491324935915046484744611108041068906714582159370873125356664562078042601992","0.5","0.51","49","51965.8966","59376.73","30.0465","0.52","0.515677","2"
"5","14:05-14:10","BTC","Up","2026-07-04 14:04:30","2026-07-04T14:04:30.0105422+03:00","36403816217547888655498879371066924471258740958959972656612330079883747808590","0.49","0.5","50","52770.4036","60842.04","30.0465","0.5","0.5","1"
"5","14:05-14:10","ETH","Down","2026-07-04 14:04:30","2026-07-04T14:04:30.6575154+03:00","112482322781871143908491631802716909925926854535294140057384711547926891287281","0.49","0.5","50","32701.9938","35846.37","30.0465","0.5","0.5","1"
"5","14:05-14:10","ETH","Up","2026-07-04 14:04:30","2026-07-04T14:04:30.4889604+03:00","65893570286879572298885604680509874765292370831008882555413750642819586763472","0.5","0.51","49","32288.1538","35004.37","30.0465","0.52","0.513151","2"
"5","14:05-14:10","SOL","Down","2026-07-04 14:04:30","2026-07-04T14:04:31.0048895+03:00","48403130206715092552212319935379331158389624820309189157393649081621070544793","0.48","0.5","50","23057.3341","24268.99","30.0465","0.5","0.5","1"
"5","14:05-14:10","SOL","Up","2026-07-04 14:04:30","2026-07-04T14:04:30.8240357+03:00","60271127949284611149651840590673765367764701498481727539668634689421391266898","0.5","0.52","48","22979.0145","24130.67","30.0465","0.53","0.520473","2"
"6","14:10-14:15","BTC","Down","2026-07-04 14:09:30","2026-07-04T14:09:30.2428416+03:00","87794889117291834546734687910429417908634427800053301323697464360122911833478","0.49","0.5","50","53177.9491","61534.56","30.0465","0.5","0.5","1"
"6","14:10-14:15","BTC","Up","2026-07-04 14:09:30","2026-07-04T14:09:30.0083762+03:00","104493381801638360251846252933764571144184698279456514075765089583033816420713","0.5","0.51","49","52633.4932","60703.42","30.0465","0.51","0.51","1"
"6","14:10-14:15","ETH","Down","2026-07-04 14:09:30","2026-07-04T14:09:30.7043540+03:00","42309445243726635463957924506945234257447001913296250590971928734673847465463","0.48","0.49","51","32299.6941","35057.64","30.0465","0.49","0.49","1"
"6","14:10-14:15","ETH","Up","2026-07-04 14:09:30","2026-07-04T14:09:30.4859061+03:00","89441234672070252604787777433643483150894408841769862481000709891347923307967","0.51","0.52","48","32740.2508","35887.83","30.0465","0.52","0.52","1"
"6","14:10-14:15","SOL","Down","2026-07-04 14:09:30","2026-07-04T14:09:31.1022754+03:00","22542406411837320634865573874475971646017675679974291271247377604486524537887","0.5","0.51","49","23017.2445","24207.67","30.0465","0.51","0.51","1"
"6","14:10-14:15","SOL","Up","2026-07-04 14:09:30","2026-07-04T14:09:30.8875840+03:00","55878050029516013108528085996153384392123678122152045984055252802978791586439","0.49","0.5","50","22987.5825","24171.23","30.0465","0.5","0.5","1"
